index,pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_mass,st_rad,sy_dist,sy_vmag,rastr,decstr
155,TOI-1248 b,TOI-1248,Transit,2024,4.3601561,6.808,27.4,952,5205,0.9,0.87,168.735,11.806,17h16m05.66s,+63d06m20.19s
156,TOI-1249 b,TOI-1249,Transit,2024,13.079151,3.271,11.9,727,5497,1.01,0.98,139.49,11.089,13h22m14.78s,+66d18m30.72s
157,TOI-125 b,TOI-125,Transit,2019,4.65382,2.726,9.5,1037,5320,0.86,0.85,111.059,11.023,01h34m22.42s,-66d40m34.86s
158,TOI-125 c,TOI-125,Transit,2019,9.15059,2.759,6.63,828,5320,0.86,0.85,111.059,11.023,01h34m22.42s,-66d40m34.86s
159,TOI-125 d,TOI-125,Transit,2020,19.98,2.93,13.6,638,5320,0.86,0.85,111.059,11.023,01h34m22.42s,-66d40m34.86s
160,TOI-1259 A b,TOI-1259 A,Transit,2021,3.477978,11.456,140.16233,963,4775,0.74,0.71,118.106,12.079,18h48m24.04s,+79d15m23.31s
161,TOI-1260 b,TOI-1260,Transit,2021,3.127463,2.41,8.56,871,4227,0.68,0.67,73.5977,11.922,10h28m34.58s,+65d51m15.11s
162,TOI-1260 c,TOI-1260,Transit,2021,7.493134,2.76,13.2,651,4227,0.68,0.67,73.5977,11.922,10h28m34.58s,+65d51m15.11s
163,TOI-1260 d,TOI-1260,Transit,2022,16.608164,3.12,11.84,499,4227,0.68,0.67,73.5977,11.922,10h28m34.58s,+65d51m15.11s
164,TOI-1266 b,TOI-1266,Transit,2020,10.894841,2.62,4.23,425,3618,0.43,0.44,36.0118,12.941,13h11m59.18s,+65d50m01.31s
165,TOI-1266 c,TOI-1266,Transit,2020,18.801611,2.13,2.88,354,3618,0.43,0.44,36.0118,12.941,13h11m59.18s,+65d50m01.31s
166,TOI-1268 b,TOI-1268,Transit,2022,8.1577094,9.1,96.4,919,5300,0.96,0.92,109.557,10.92,13h13m33.26s,+62d18m19.37s
167,TOI-1269 b,TOI-1269,Transit,2024,4.2529913,2.401,6.4,1005,5499,0.9,0.85,172.138,11.618,16h38m47.19s,+64d33m33.05s
168,TOI-1272 b,TOI-1272,Transit,2022,3.31599,4.132,27,975,5065,0.88,0.79,137.572,11.758,13h16m47.09s,+49d51m39.81s
169,TOI-1273 b,TOI-1273,Transit,2024,4.631296,11.097,70.55791,1211,5690,1.06,1.06,177.118,10.98,14h16m29.01s,+58d23m24.91s
170,TOI-1278 b,TOI-1278,Transit,2021,14.47567,12.218,5879.82553,,3799,0.54,0.57,75.5759,13.502,21h21m54.83s,+35d38m55.05s
171,TOI-1279 b,TOI-1279,Transit,2024,9.61419,2.661,10.6,759,5457,0.88,0.84,107.055,10.714,12h20m15.09s,+56d12m05.07s
172,TOI-128.01,TOI-128,Transit,2024,4.9404681,2.219,,1345,6086,0.85,1.13,68.4727,8.44,05h18m05.03s,-80d57m51.78s
173,TOI-1288 b,TOI-1288,Transit,2022,2.6998279,4.968,44.1,1203,5388,0.96,0.96,114.865,10.445,20h52m40.09s,+65d36m31.62s
174,TOI-1294 b,TOI-1294,Transit,2024,3.915292,10.124,63.9,1393,5718,1.16,1.56,332.648,11.314,14h52m22.23s,+70d28m35.61s
175,TOI-1296 b,TOI-1296,Transit,2021,3.9443736,14.116,95.3,1415,5567,1.16,1.7,323.265,11.37,17h07m04.95s,+70d14m18.53s
176,TOI-1298 b,TOI-1298,Transit,2021,4.537143,9.658,99,1278,5752,1.22,1.45,319.036,11.889,16h05m17.50s,+70d11m24.14s
177,TOI-132 b,TOI-132,Transit,2020,2.1097019,3.42,22.4,1395,5397,0.97,0.9,163.678,11.197,22h33m35.92s,-43d26m12.74s
178,TOI-1333 b,TOI-1333,Transit,2021,4.720219,15.648,753.2571,1679,6274,1.46,1.93,200.492,9.438,21h40m03.49s,+48d24m24.36s
179,TOI-1338 b,TOI-1338 A,Transit,2020,95.4001,7.661,11.3,,,1.09,1.31,399.017,11.722,06h08m31.94s,-59d32m27.55s
180,TOI-1347 b,TOI-1347,Transit,2024,0.84742346,1.8,11.1,1400,5464,0.91,0.83,147.476,11.168,18h41m18.40s,+70d17m24.19s
181,TOI-1347 c,TOI-1347,Transit,2024,4.841962,1.6,6.4,1000,5464,0.91,0.83,147.476,11.168,18h41m18.40s,+70d17m24.19s
182,TOI-1386 b,TOI-1386,Transit,2024,25.8401,6.216,45.8,615,5735,1.04,1.02,146.858,10.61,22h18m00.98s,+54d19m08.56s
183,TOI-139 b,TOI-139,Transit,2023,11.07085,2.457,,561,4570,0.69,0.7,42.4061,10.55,22h25m36.58s,-34d54m34.97s
184,TOI-1408 b,TOI-1408,Transit,2023,4.42587,25,593,,6117,1.31,1.53,139.484,9.270001,20h54m02.65s,+72d34m50.32s
185,TOI-1408 c,TOI-1408,Transit Timing Variations,2024,2.1664,2.22,7.6,,6117,1.31,1.53,139.484,9.270001,20h54m02.65s,+72d34m50.32s
186,TOI-1410.01,TOI-1410,Transit,2024,1.21687,3.101,12.5,1237,4635,0.79,0.76,72.7512,11.111,22h19m31.88s,+42d33m37.13s
187,TOI-1411 b,TOI-1411,Transit,2022,1.4520527,1.199,2,976,4115,0.6,0.61,32.4778,10.51,15h31m47.05s,+47d03m19.98s
188,TOI-1416 b,TOI-1416,Transit,2023,1.0697568,1.62,3.48,1517,4884,0.8,0.79,55.0135,9.91,14h27m41.64s,+41d57m10.75s
189,TOI-1420 b,TOI-1420,Transit,2023,6.9561063,11.89,25.1,957,5510,0.99,0.92,201.918,11.655,21h31m46.03s,+66d20m56.42s
190,TOI-1422 b,TOI-1422,Transit,2022,12.9972,3.96,9,867,5840,0.98,1.02,155.141,10.622,23h36m57.80s,+39d38m21.41s
